id,title,description,category,priority,status,owner,effort,impact,source
1,Add an early Mihai voice note around day 4-5,"A short personal voice note from Mihai between day 3 (founder video) and day 6 (impact deep-dive). Fills a gap where the Angel has had one big moment but nothing personal yet. Reinforces that Mihai is genuinely tracking their arrival.",Stewardship UX,1,unchecked,Mihai,S,H,2026-05-13 design conversation
2,Trigger recruiter peer welcome at day 2,"If the Angel was referred by a current Angel, the recruiter should send a short personal message at day 2. Gabi or Alice triggers the nudge. Peer validation at this moment converts anxiety into belonging.",Stewardship UX,2,unchecked,Mihai / Alice,S,H,2026-05-13 design conversation
3,Seed 1-2 Angel-to-Angel intros in week 2,"Gabi identifies 1-2 existing Angels with obvious overlap (city, industry, background) and makes a warm intro by day 10-14. First peer connection is the strongest predictor of long-term retention.",Stewardship UX,3,unchecked,Gabi,M,H,2026-05-13 design conversation
4,Design 1-2 agency moments in week 1,"Give the new Angel a small task with visible stakes: vote on a program option, suggest a speaker, name a recipient. Agency creates ownership. Without it the first 30 days are passive consumption.",Stewardship UX,4,unchecked,Gabi / Mihaela,M,H,2026-05-13 design conversation
5,Thread the four claims through stewardship,"The claims (200 Angels by Dec 31 / 2050 Romania / $1B impact) are powerful but they disappear after the pitch. Weave them into at least 3 stewardship touches so the Angel internalizes the mission arc, not just the year-1 gift.",Stewardship UX,5,unchecked,Mihai / Madi,M,H,2026-05-13 design conversation
6,Build a specific-impact lookup per tier per quarter,"Each Angel should be able to see exactly what their tier funded last quarter: a named scholarship, a specific event, a program moment. Generic impact reports erode trust. Specific ones compound it.",Stewardship UX,6,unchecked,Madi,L,H,2026-05-13 design conversation
7,Add a physical artifact (signed postcard minimum),"A hand-addressed postcard signed by Mihai arrives in week 2. Even a minimal physical artifact outperforms digital-only onboarding in retention studies. Archangel+ gets a heavier item.",Stewardship UX,7,unchecked,Gabi,M,M,2026-05-13 design conversation
8,Make the cultivate-to-steward handoff intentional,"Mihai names Gabi explicitly in the day-3 founder video: 'Gabi is your Angel Liaison — she's here for everything from here.' Without the explicit handoff, Angels don't know who to contact and Gabi loses authority.",Stewardship UX,8,unchecked,Mihai,S,H,2026-05-13 design conversation
9,Add a tier-aware touch in the sequence,"One moment in the 30-day sequence calls out the Angel's specific tier by name and explains what it unlocks. Makes the tier feel like an identity, not just a price point.",Stewardship UX,9,unchecked,Gabi,S,M,2026-05-13 design conversation
10,Add running 200-counter to the welcome kit,"Include the Angel's place in the founding cohort: 'You are #117 of the first 200.' Scarcity and founding-cohort identity are powerful motivators. The number should be accurate at send time.",Stewardship UX,10,unchecked,Alice,S,M,2026-05-13 design conversation
